binomial,Full.name,redlistCategory,LL
Aciagrion_migratum,"Aciagrion migratum (Selys, 1876)",Least Concern,Lentic
Acisoma_inflatum,"Acisoma inflatum (Selys, 1871)",Least Concern,Lentic
Acisoma_panorpoides,"Acisoma panorpoides Rambur, 1842",Least Concern,Lentic
Acisoma_variegatum,"Acisoma variegatum Kirby, 1898",Least Concern,Lentic
Aeschnophlebia_anisoptera,NA,NA,Lentic
Aeschnophlebia_longistigma,"Aeschnophlebia longistigma Selys, 1883",Least Concern,Lentic
Aeshna_affinis,"Aeshna affinis Vander Linden, 1820",Least Concern,Lentic
Aeshna_caerulea,"Aeshna caerulea (Ström, 1783)",Least Concern,Lentic
Aeshna_crenata,"Aeshna crenata Hagen, 1856",Least Concern,Lentic
Aeshna_cyanea,"Aeshna cyanea (Müller, 1764)",Least Concern,Lentic
Aeshna_grandis,"Aeshna grandis (Linnaeus, 1758)",Least Concern,Lentic
Aeshna_isoceles,"Aeshna isoceles (Müller, 1767)",Least Concern,Lentic
Aeshna_juncea,"Aeshna juncea (Linnaeus, 1758)",Least Concern,Lentic
Aeshna_mixta,"Aeshna mixta Latreille, 1805",Least Concern,Lentic
Aeshna_serrata,"Aeshna serrata Hagen, 1856",Least Concern,Lentic
Aeshna_subarctica,"Aeshna subarctica Walker, 1908",Least Concern,Lentic
Aeshna_vercanica,"Aeshna vercanica Schneider, Schneider, Schneider, Verstraete & Dumont, 2015",Least Concern,Lentic
Aeshna_viridis,"Aeshna viridis Eversmann, 1836",Least Concern,Lentic
Agriocnemis_femina,"Agriocnemis femina (Brauer, 1868)",Least Concern,Lentic
Agriocnemis_pygmaea,"Agriocnemis pygmaea (Rambur, 1842)",Least Concern,Lentic
Agriocnemis_sania,"Agriocnemis sania Nielsen, 1959",Least Concern,Lentic
Agrionoptera_insignis,"Agrionoptera insignis (Rambur, 1842)",Least Concern,Lentic
Anaciaeschna_jaspidea,"Anaciaeschna jaspidea (Burmeister, 1839)",Least Concern,Lentic
Anaciaeschna_martini,"Anaciaeschna martini (Selys, 1897)",Least Concern,Lentic
Anax_ephippiger,"Anax ephippiger (Burmeister, 1839)",Least Concern,Lentic
Anax_guttatus,"Anax guttatus (Burmeister, 1839)",Least Concern,Lentic
Anax_immaculifrons,"Anax immaculifrons Rambur, 1842",Least Concern,Lotic
Anax_imperator,"Anax imperator Leach in Brewster, 1815",Least Concern,Lentic
Anax_junius,"Anax junius (Drury, 1773)",Least Concern,Lentic
Anax_nigrofasciatus,"Anax nigrofasciatus Oguma, 1915",Least Concern,Lentic
Anax_panybeus,"Anax panybeus Hagen, 1867",Least Concern,Lentic
Anax_parthenope,"Anax parthenope (Selys, 1839)",Least Concern,Lentic
Anax_speratus,"Anax speratus Hagen, 1867",Least Concern,Lotic
Anax_tristis,"Anax tristis Hagen, 1867",Least Concern,Lentic
Anisogomphus_maacki,"Anisogomphus maacki (Selys in Selys & McLachlan, 1872)",Least Concern,Lotic
Anormogomphus_kiritshenkoi,"Anormogomphus kiritshenkoi Bartenev, 1913",Near Threatened,Lotic
Anotogaster_klossi,"Anotogaster klossi Fraser, 1919",Data Deficient,Lotic
Anotogaster_sieboldii,"Anotogaster sieboldii (Selys, 1854)",Least Concern,Lotic
Arabicnemis_caerulea,"Arabicnemis caerulea Waterston, 1984",Least Concern,Lotic
Arabineura_khalidi,"Arabineura khalidi (Schneider, 1988)",Endangered,Lotic
Asiagomphus_amamiensis,"Asiagomphus amamiensis (Asahina, 1962)",Near Threatened,Lotic
Asiagomphus_coreanus,"Asiagomphus coreanus (Doi & Okumura, 1937)",Endangered,Lotic
Asiagomphus_melaenops,NA,NA,Lotic
Asiagomphus_melanopsoides,"Asiagomphus melanopsoides (Doi, 1943)",Data Deficient,Lotic
Asiagomphus_pryeri,NA,NA,Lotic
Atrocalopteryx_atrata,"Atrocalopteryx atrata (Selys, 1853)",Least Concern,Lotic
Azuragrion_granti,"Azuragrion granti (McLachlan, 1903)",Near Threatened,Lotic
Azuragrion_nigridorsum,"Azuragrion nigridorsum (Selys, 1876)",Least Concern,Lentic
Azuragrion_somalicum,"Azuragrion somalicum (Longfield, 1931)",Least Concern,Lentic
Azuragrion_vansomereni,"Azuragrion vansomereni (Pinhey, 1955)",Least Concern,Lentic
Boyeria_cretensis,"Boyeria cretensis Peters, 1991",Endangered,Lotic
Boyeria_irene,"Boyeria irene (Fonscolombe, 1838)",Least Concern,Lotic
Boyeria_karubei,"Boyeria karubei Yokoi, 2002",Least Concern,Lotic
Boyeria_maclachlani,NA,NA,Lotic
Brachydiplax_chalybea,"Brachydiplax chalybea Brauer, 1868",Least Concern,Lentic
Brachythemis_contaminata,"Brachythemis contaminata (Fabricius, 1793)",Least Concern,Lentic
Brachythemis_fuscopalliata,"Brachythemis fuscopalliata (Selys, 1887)",Vulnerable,Lentic
Brachythemis_impartita,"Brachythemis impartita (Karsch, 1890)",Least Concern,Lentic
Brachytron_pratense,"Brachytron pratense (Müller, 1764)",Least Concern,Lentic
Burmagomphus_collaris,"Burmagomphus collaris (Needham, 1930)",Least Concern,Lotic
Caliaeschna_microstigma,"Caliaeschna microstigma (Schneider, 1845)",Least Concern,Lotic
Calopteryx_cornelia,"Calopteryx cornelia Selys, 1853",Least Concern,Lotic
Calopteryx_exul,"Calopteryx exul Selys, 1853",Endangered,Lotic
Calopteryx_haemorrhoidalis,"Calopteryx haemorrhoidalis (Vander Linden, 1825)",Least Concern,Lotic
Calopteryx_hyalina,"Calopteryx hyalina Martin, 1909",Endangered,Lotic
Calopteryx_japonica,"Calopteryx japonica Selys, 1869",Least Concern,Lotic
Calopteryx_samarcandica,"Calopteryx samarcandica Bartenev, 1911",Least Concern,Lotic
Calopteryx_splendens,"Calopteryx splendens (Harris, 1780)",Least Concern,Lotic
Calopteryx_syriaca,"Calopteryx syriaca Gené in Rambur, 1842",Endangered,Lotic
Calopteryx_virgo,"Calopteryx virgo (Linnaeus, 1758)",Least Concern,Lotic
Calopteryx_xanthostoma,"Calopteryx xanthostoma (Charpentier, 1825)",Least Concern,Lotic
Ceriagrion_auranticum,"Ceriagrion auranticum Fraser, 1922",Least Concern,Lentic
Ceriagrion_georgifreyi,"Ceriagrion georgifreyi Schmidt, 1953",Endangered,Lotic
Ceriagrion_glabrum,"Ceriagrion glabrum (Burmeister, 1839)",Least Concern,Lentic
Ceriagrion_melanurum,"Ceriagrion melanurum Selys, 1876",Least Concern,Lentic
Ceriagrion_nipponicum,NA,NA,Lentic
Ceriagrion_tenellum,"Ceriagrion tenellum (de Villers, 1789)",Least Concern,Lentic
Chalcolestes_parvidens,"Chalcolestes parvidens (Artobolevskii, 1929)",Least Concern,Lentic
Chalcolestes_viridis,"Chalcolestes viridis (Vander Linden, 1820)",Least Concern,Lentic
Chlorogomphus_brunneus,NA,NA,Lotic
Chlorogomphus_iriomotensis,"Chlorogomphus iriomotensis Ishida, 1972",Least Concern,Lotic
Chlorogomphus_okinawensis,"Chlorogomphus okinawensis Ishida, 1964",Endangered,Lotic
Coeliccia_ryukyuensis,NA,NA,Lotic
Coenagrion_armatum,"Coenagrion armatum (Charpentier, 1840)",Least Concern,Lentic
Coenagrion_australocaspicum,"Coenagrion australocaspicum Dumont & Heidari, 1996",Data Deficient,Lentic
Coenagrion_caerulescens,"Coenagrion caerulescens (Fonscolombe, 1838)",Least Concern,Lotic
Coenagrion_ecornutum,"Coenagrion ecornutum (Selys in Selys & McLachlan, 1872)",Least Concern,Lentic
Coenagrion_glaciale,"Coenagrion glaciale (Hagen in Selys & McLachlan, 1872)",Least Concern,Lentic
Coenagrion_hastulatum,"Coenagrion hastulatum (Charpentier, 1825)",Least Concern,Lentic
Coenagrion_hylas,"Coenagrion hylas (Trybom, 1889)",Least Concern,Lentic
Coenagrion_intermedium,"Coenagrion intermedium Lohmann, 1990",Endangered,Lotic
Coenagrion_johanssoni,"Coenagrion johanssoni (Wallengren, 1894)",Least Concern,Lentic
Coenagrion_lanceolatum,NA,NA,Lentic
Coenagrion_lunulatum,"Coenagrion lunulatum (Charpentier, 1840)",Least Concern,Lentic
Coenagrion_mercuriale,"Coenagrion mercuriale (Charpentier, 1840)",Near Threatened,Lotic
Coenagrion_ornatum,"Coenagrion ornatum (Selys, 1850)",Least Concern,Lotic
Coenagrion_persicum,"Coenagrion persicum Lohmann, 1993",Data Deficient,Lotic
Coenagrion_ponticum,"Coenagrion ponticum (Bartenev, 1929)",Least Concern,Lentic
Coenagrion_puella,"Coenagrion puella (Linnaeus, 1758)",Least Concern,Lentic
Coenagrion_pulchellum,"Coenagrion pulchellum (Vander Linden, 1825)",Least Concern,Lentic
Coenagrion_scitulum,"Coenagrion scitulum (Rambur, 1842)",Least Concern,Lentic
Coenagrion_syriacum,"Coenagrion syriacum (Morton, 1924)",Near Threatened,Lentic
Coenagrion_terue,"Coenagrion terue (Asahina, 1949)",Least Concern,Lentic
Cordulia_aenea,"Cordulia aenea (Linnaeus, 1758)",Least Concern,Lentic
Crocothemis_erythraea,"Crocothemis erythraea (Brullé, 1832)",Least Concern,Lentic
Crocothemis_sanguinolenta,"Crocothemis sanguinolenta (Burmeister, 1839)",Least Concern,Lentic
Davidius_fujiama,NA,NA,Lotic
Davidius_lunatus,"Davidius lunatus (Bartenev, 1914)",Least Concern,Lotic
Davidius_moiwanus,NA,NA,Lotic
Davidius_nanus,"Davidius nanus (Selys, 1869)",Least Concern,Lotic
Deielia_phaon,"Deielia phaon (Selys, 1883)",Least Concern,Lentic
Diplacodes_lefebvrii,"Diplacodes lefebvrii (Rambur, 1842)",Least Concern,Lentic
Diplacodes_trivialis,"Diplacodes trivialis (Rambur, 1842)",Least Concern,Lentic
Enallagma_circulatum,"Enallagma circulatum Selys, 1883",Least Concern,Lentic
Enallagma_cyathigerum,"Enallagma cyathigerum (Charpentier, 1840)",Least Concern,Lentic
Enallagma_deserti,"Enallagma deserti (Selys, 1871)",Least Concern,Lentic
Epallage_fatime,"Epallage fatime (Charpentier, 1840)",Least Concern,Lotic
Epiophlebia_sinensis,NA,NA,Lotic
Epiophlebia_superstes,NA,NA,Lotic
Epitheca_bimaculata,"Epitheca bimaculata (Charpentier, 1825)",Least Concern,Lentic
Epitheca_marginata,"Epitheca marginata (Selys, 1883)",Least Concern,Lentic
Epophthalmia_elegans,"Epophthalmia elegans (Brauer, 1865)",Least Concern,Lentic
Erythromma_lindenii,"Erythromma lindenii (Selys, 1840)",Least Concern,Lentic
Erythromma_najas,"Erythromma najas (Hansemann, 1823)",Least Concern,Lentic
Erythromma_viridulum,"Erythromma viridulum (Charpentier, 1840)",Least Concern,Lentic
Gomphidia_confluens,"Gomphidia confluens Selys, 1878",Least Concern,Lotic
Gomphus_davidi,"Gomphus davidi Selys, 1887",Least Concern,lentic
Gomphus_graslinii,"Gomphus graslinii Rambur, 1842",Near Threatened,Lotic
Gomphus_kinzelbachi,"Gomphus kinzelbachi Schneider, 1984",Data Deficient,Lotic
Gomphus_lucasii,"Gomphus lucasii Selys in Lucas, 1849",Vulnerable,Lotic
Gomphus_pulchellus,"Gomphus pulchellus Selys, 1840",Least Concern,lentic
Gomphus_schneiderii,"Gomphus schneiderii Selys, 1850",Least Concern,Lotic
Gomphus_simillimus,"Gomphus simillimus Selys, 1840",Least Concern,Lotic
Gomphus_vulgatissimus,"Gomphus vulgatissimus (Linnaeus, 1758)",Least Concern,Lotic
Gynacantha_japonica,NA,NA,Lentic
Gynacantha_ryukyuensis,NA,NA,Lentic
Hemicordulia_mindana,"Hemicordulia mindana Needham & Gyger, 1937",Least Concern,lentic
Hemicordulia_okinawensis,"Hemicordulia okinawensis Asahina, 1947",Least Concern,Lentic
Hydrobasileus_croceus,"Hydrobasileus croceus (Brauer, 1867)",Least Concern,Lentic
Ictinogomphus_pertinax,"Ictinogomphus pertinax (Hagen in Selys, 1854)",Least Concern,lentic
Indolestes_peregrinus,"Indolestes peregrinus (Ris, 1916)",Least Concern,Lentic
Ischnura_aralensis,"Ischnura aralensis Haritonov, 1979",Near Threatened,Lentic
Ischnura_asiatica,NA,NA,Lentic
Ischnura_aurora,"Ischnura aurora (Brauer, 1865)",Least Concern,Lentic
Ischnura_elegans,"Ischnura elegans (Vander Linden, 1820)",Least Concern,Lentic
Ischnura_evansi,"Ischnura evansi Morton, 1919",Least Concern,Lentic
Ischnura_forcipata,"Ischnura forcipata Morton, 1907",Least Concern,Lentic
Ischnura_fountaineae,"Ischnura fountaineae Morton, 1905",Least Concern,Lentic
